epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,10384.6,1.28936,1.01162,1.25552,0.79001,0.69283,0.77259,0.4522,1.2335,1.01115,1.16613,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,10562.6,1.30252,1.0204,1.26644,0.7812,0.69931,0.77355,0.45261,1.23051,1.00669,1.163,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,10741.2,1.28405,1.00946,1.25247,0.78909,0.69609,0.77203,0.45243,1.23064,0.99538,1.16218,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10918.8,1.2729,0.98136,1.25019,0.78299,0.69814,0.77118,0.45356,1.22921,0.99525,1.16057,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,11096.3,1.2933,1.00475,1.2595,0.78307,0.69866,0.77287,0.45357,1.23053,0.98941,1.16244,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,11274,1.2846,0.98234,1.24858,0.7789,0.70013,0.77333,0.45352,1.23014,0.98699,1.16213,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,11452.8,1.28061,0.9791,1.24872,0.78698,0.69786,0.77471,0.45474,1.22891,0.98854,1.16099,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,11630.7,1.24696,0.97388,1.22755,0.78049,0.70171,0.7742,0.4551,1.22859,0.98443,1.16063,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,11810,1.26189,0.96305,1.23725,0.78505,0.69654,0.77527,0.45575,1.22943,0.97821,1.1607,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,11989,1.26504,0.95501,1.24436,0.78185,0.69947,0.77478,0.45592,1.2291,0.97511,1.15996,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,12166.2,1.25709,0.94317,1.23849,0.78522,0.70143,0.77569,0.45638,1.22787,0.97121,1.15951,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,12344.3,1.25817,0.96046,1.2322,0.78184,0.70173,0.77641,0.45768,1.2276,0.96749,1.15988,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,12522.2,1.25732,0.94566,1.23462,0.78307,0.70396,0.77759,0.45836,1.22827,0.96628,1.16006,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,12700.2,1.25485,0.93768,1.22922,0.7817,0.70283,0.77759,0.45841,1.22931,0.9637,1.16105,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,12878.7,1.23952,0.92723,1.22128,0.78334,0.70468,0.77829,0.45914,1.22959,0.96329,1.16115,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,13056.9,1.23065,0.91487,1.21732,0.78508,0.70435,0.77911,0.45935,1.22946,0.95897,1.16095,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,13235.7,1.24045,0.92322,1.2245,0.7829,0.70424,0.77945,0.45961,1.22861,0.95563,1.16018,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
